HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Source,Specimen origin,Sample size,Data quality,IMR (per yr),MRDT (yrs),Metabolic rate (W),Body mass (g),Temperature (K),References
1797,Animalia,Chordata,Chondrichthyes,Lamniformes,Lamnidae,Carcharodon,carcharias,Great white shark,,3285,,,6,,730,,,1870000,,50,822,wild,medium,acceptable,,,,,,"224,548,221,169"
224,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,1460,1460,40,,2,1,,110.6,,4800,0.126,48,437,captivity,medium,acceptable,,,4.9929,3000,,6.14E+16
2253,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,maritimus,Polar bear,1734,1734,65,303,2,0.4,750,665,27000,475000,0.0022,43.8,671,captivity,medium,acceptable,,,,,309.95,"75,76,77,78,79,434,455,610,671,680,731,955,978,1054,1136,1143"
2647,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,Indian rhinoceros,1678,2557,479,456,1,0.3,850,58000,885812,1602330,,43.5,671,captivity,medium,acceptable,,,,,310.55,"4,344,555,426,106,710,000"
2848,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus,glaber,Naked mole-rat,228,,70,,7,3.5,81,2,,35,0.0046,31,"Rochelle Buffenstein, pers. comm.",captivity,large,high,,,0.128,35.3,305.25,"5,36,50,184,420,434,455,481,603,689,715,731,754,755,756,776,783,786,867,894,913,925,926,947,966,978,981,1114,1136,1144,1176,1177,1178,1179,1180,1181,1182,1217,1220,1247,1248,1250,1277,1281,1282,1315,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342"
2073,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic dog,510,510,63,,6,,,,,40000,0.0244,27,1330,captivity,large,acceptable,0.02,3,,,,"2,18,75,121,199,200,201,202,203,204,205,206,207,208,209,210,423,431,434,436,481,486,488,521,715,726,731,742,758,765,787,872,901,931,980,981,983,1121,1132,1136,1140,1141,1208,1242,1256,1264,1270,1315,1326,1327,1328,1329,1330"
2130,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,tigris,Tiger,1268,1415,105,121,2.5,0.4,750,1190,11003,119700,,26.3,671,captivity,large,high,,,133.859,137900,310.65,"36,89,420,434,455,610,671,680,1136,1142"
2139,Animalia,Chordata,Mammalia,Carnivora,Felidae,Uncia,uncia,Snow leopard,730,730,96,77,2,1,365,475,7500,50000,,21.2,671,captivity,large,high,,,,,,"434,455,610,671,680,000"
2075,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Gray wolf,669,669,62,47,6,0.8,365,450,5250,26625,0.0177,20.6,671,captivity,large,high,,,,,311.45,"434,455,671,676,680,000,000,000,000,000,000,000"
2189,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,meles,"European badger, or Old World badger",365,365,49,90,3,1,365,80,,13000,0.0196,18.6,671,captivity,medium,acceptable,,,16.647,11050,310.15,"364,204,344,555,546,000,000,000,000,000"
