HAGRID,Kingdom,Phylum,Class,Order,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Adult weight (g),Maximum longevity (yrs),Specimen origin,Sample size,Data quality,Temperature (K)
2009,Animalia,Chordata,Mammalia,Artiodactyla,Alpaca,432,500,345,1.04,,,7210,62000,25.8,captivity,large,high,312.25
1382,Animalia,Chordata,Aves,Pelecaniformes,Crested ibis,,,,,,,,1900,25.8,captivity,tiny,acceptable,
640,Animalia,Chordata,Aves,Falconiformes,Crested caracara,,,32,2,1.5,,51.17,1031,25.8,captivity,small,acceptable,
2821,Animalia,Chordata,Mammalia,Primates,Slow loris,578,,188,1,1,492,48.2,890.5,25.8,captivity,medium,acceptable,308.55
1503,Animalia,Chordata,Aves,Psittaciformes,Lilac-crowned parrot,,,,,,,,302,25.8,captivity,medium,acceptable,
485,Animalia,Chordata,Aves,Charadriiformes,Gray-backed tern,1825,1825,,1,,,18.5,131.7,25.8,wild,small,acceptable,
3536,Animalia,Chordata,Reptilia,Squamata,Children's python,,,55,,,,,384,25.7,captivity,medium,acceptable,
491,Animalia,Chordata,Aves,Charadriiformes,Roseate tern,1095,1095,23,2,1,,14.8,112,25.7,wild,medium,acceptable,
1897,Animalia,Chordata,Mammalia,Artiodactyla,Impala,456,395,198,1,1,365,5550,52500,25.6,captivity,large,high,
311,Animalia,Chordata,Aves,Anseriformes,Bean goose,1095,1095,28,4,,,,3348,25.6,wild,medium,acceptable,
1707,Animalia,Chordata,Aves,Suliformes,Christmas Island frigatebird,2192,2192,,,,,,1550,25.6,wild,medium,acceptable,
438,Animalia,Chordata,Aves,Charadriiformes,Black-bellied plover,730,730,27,4,1,,21.4,224,25.6,wild,medium,acceptable,
280,Animalia,Chordata,Aves,Accipitriformes,Black vulture,2920,2920,35,2,1,,70,2270,25.5,wild,medium,acceptable,
288,Animalia,Chordata,Aves,Anseriformes,Egyptian goose,730,730,29,7,,,,1900,25.5,captivity,small,acceptable,
1723,Animalia,Chordata,Aves,Suliformes,Masked booby,1461,1461,43,1.5,,,52.2,1739.2,25.5,wild,large,acceptable,
2427,Animalia,Chordata,Mammalia,Chiroptera,Gray big-eared bat,352,365,65,,,,,12,25.5,wild,medium,acceptable,
3254,Animalia,Chordata,Reptilia,Crocodilia,Morelet's crocodile,2557,2739,,,,,,38500,25.4,captivity,medium,acceptable,
3447,Animalia,Chordata,Reptilia,Squamata,"Indian cobra, or Monocled cobra",,,,,,,,3113,25.4,captivity,small,acceptable,
1354,Animalia,Chordata,Aves,Pelecaniformes,Purple heron,730,730,,,,,,1065.5,25.4,wild,medium,acceptable,
3762,Animalia,Chordata,Reptilia,Testudines,South American river turtle,,,,,,,,25800,25.3,captivity,medium,acceptable,
1496,Animalia,Chordata,Aves,Psittaciformes,White-fronted parrot,,,,,,,,215,25.3,captivity,medium,acceptable,
2772,Animalia,Chordata,Mammalia,Primates,Capped leaf monkey,,,,,,,,11450,25.2,captivity,small,acceptable,
711,Animalia,Chordata,Aves,Gruiformes,Red-crowned crane,1095,1095,31,2,,,,8500,25.2,captivity,medium,acceptable,
3788,Animalia,Chordata,Reptilia,Testudines,Spiny softshell turtle,3285,3285,,,,,,4765,25.2,captivity,medium,acceptable,
2439,Animalia,Chordata,Mammalia,Cingulata,Large hairy armadillo,273,273,67,2,1,,128,3000,25.2,captivity,medium,acceptable,308.25
2238,Animalia,Chordata,Mammalia,Carnivora,Allen's olingo,650,594,75,,,,,1235,25.2,captivity,small,acceptable,
2754,Animalia,Chordata,Mammalia,Primates,Proboscis monkey,1460,,166,1.25,0.7,540,490,14617.5,25.1,captivity,small,acceptable,
1240,Animalia,Chordata,Aves,Passeriformes,Satin bowerbird,1726,,,,,,,213,25.1,wild,large,acceptable,
1798,Animalia,Chordata,Chondrichthyes,Lamniformes,Shortfin mako,5475,,,12.5,,1095,,278190,25,wild,medium,acceptable,
2287,Animalia,Chordata,Mammalia,Cetacea,Short-beaked saddleback dolphin,1754,1583,301,1,0.4,548,7000,80000,25,wild,medium,acceptable,
1815,Animalia,Chordata,Chondrichthyes,Orectolobiformes,Nurse shark,,,,,,,,60280,25,wild,medium,acceptable,
2536,Animalia,Chordata,Mammalia,Diprotodontia,Red kangaroo,517,806,33,1,,241,0.784,55000,25,captivity,large,high,309.05
4024,Animalia,Chordata,Teleostei,Gadiformes,Atlantic cod,790,778,,,,,,52800,25,wild,medium,acceptable,
2531,Animalia,Chordata,Mammalia,Diprotodontia,Eastern gray kangaroo,639,1290,36,1,1,342,0.89867,49500,25,captivity,large,high,309.45
2160,Animalia,Chordata,Mammalia,Carnivora,Striped hyena,800,800,90,2.5,,237,700,40000,25,captivity,medium,acceptable,310.15
1748,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Grey reef shark,2190,,,4.1,,730,,18535,25,wild,medium,acceptable,
4034,Animalia,Chordata,Teleostei,Gadiformes,Pollock,730,839,,,,,,17600,25,wild,medium,acceptable,
4030,Animalia,Chordata,Teleostei,Gadiformes,Blue ling,3650,3650,,,,,,16500,25,wild,medium,acceptable,
4370,Animalia,Chordata,Teleostei,Perciformes,Speckled hind,,,,,,,,16500,25,wild,medium,acceptable,
1771,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Whitetip reef shark,2920,,,,,,,10065,25,wild,medium,acceptable,
2204,Animalia,Chordata,Mammalia,Carnivora,American badger,183,441,41,3,0.7,365,93.5,8000,25,captivity,small,acceptable,311.15
2672,Animalia,Chordata,Mammalia,Primates,Red howler monkey,1475,,190,1,0.7,424,263,6543.2,25,captivity,small,acceptable,
4067,Animalia,Chordata,Teleostei,Mugiliformes,Thicklipped mullet,1095,1095,,,,,,2475,25,wild,medium,acceptable,
4420,Animalia,Chordata,Teleostei,Pleuronectiformes,Petrale sole,2920,2555,,,,,,1980,25,wild,medium,acceptable,
2830,Animalia,Chordata,Mammalia,Primates,Monk saki,,,,1,,,120.67,1780,25,captivity,tiny,acceptable,
4421,Animalia,Chordata,Teleostei,Pleuronectiformes,Witch flounder,,,,,,,,1375,25,wild,medium,acceptable,
272,Animalia,Chordata,Aves,Accipitriformes,Harris's hawk,365,365,34,3,2,,,994.26,25,captivity,large,acceptable,
4546,Animalia,Chordata,Teleostei,Scorpaeniformes,Olive rockfish,,,,,,,,900,25,wild,medium,acceptable,
1649,Animalia,Chordata,Aves,Psittaciformes,Pesquet's parrot,,,,,,,,865,25,captivity,medium,acceptable,
651,Animalia,Chordata,Aves,Falconiformes,Peregrine falcon,365,365,30,3,1,,37.5,840,25,unknown,medium,acceptable,
3825,Animalia,Chordata,Teleostei,Clupeiformes,Twaite shad,,,,,,,,825,25,wild,medium,acceptable,
4043,Animalia,Chordata,Teleostei,Gadiformes,Blue grenadier,2007,1642,,,,,,825,25,wild,medium,acceptable,
2833,Animalia,Chordata,Mammalia,Primates,Bolivian titi,,,,1,,,,795,25,captivity,medium,acceptable,
1693,Animalia,Chordata,Aves,Strigiformes,Spectacled owl,,,36,2,,,,770,25,captivity,medium,acceptable,
1696,Animalia,Chordata,Aves,Strigiformes,Spotted owl,365,365,30,2,,,,588.7,25,captivity,small,acceptable,
462,Animalia,Chordata,Aves,Charadriiformes,Audouin's gull,1095,1095,,,,,,535,25,wild,large,acceptable,
825,Animalia,Chordata,Aves,Passeriformes,Hawaiian crow,730,1460,20,3,1,,,520,25,wild,medium,acceptable,
2778,Animalia,Chordata,Mammalia,Primates,"Masoala fork-marked lemur, or Fork-marked lemur",,,174,1,,,,400,25,captivity,small,acceptable,
3849,Animalia,Chordata,Teleostei,Clupeiformes,Pacific sardine,821,821,,,,,,267.3,25,wild,medium,acceptable,
507,Animalia,Chordata,Aves,Charadriiformes,Black-necked (Hawaiian) stilt,365,365,25,4,1,,13.6,186,25,captivity,medium,acceptable,
3660,Animalia,Chordata,Reptilia,Squamata,Asp viper,1460,1460,,,,,,161,25,unknown,medium,acceptable,
610,Animalia,Chordata,Aves,Columbiformes,White-winged dove,365,365,13,2,,,7.7,140,25,unknown,medium,acceptable,
810,Animalia,Chordata,Aves,Passeriformes,Apostlebird,,,,,,,,132,25,captivity,small,acceptable,
814,Animalia,Chordata,Aves,Passeriformes,Mexican jay,,,18,4,1,,6,130,25,captivity,medium,acceptable,
3422,Animalia,Chordata,Reptilia,Squamata,Giant gecko,,,,,,,,118,25,captivity,small,acceptable,
1263,Animalia,Chordata,Aves,Passeriformes,Bali mynah,,,13,3,,,,95,25,captivity,large,acceptable,
1262,Animalia,Chordata,Aves,Passeriformes,Superb starling,,,,,,,,64.9,25,captivity,medium,acceptable,
794,Animalia,Chordata,Aves,Passeriformes,Black-headed grosbeak,365,365,12,3,1,,3,42,25,captivity,small,acceptable,
139,Animalia,Chordata,Amphibia,Caudata,Tiger salamander,1460,1460,28,37,,,,9.402,25,captivity,medium,acceptable,291
171,Animalia,Chordata,Amphibia,Caudata,Eastern red-backed salamander,730,730,,8,,,,0.5,25,wild,medium,acceptable,278.5
239,Animalia,Chordata,Aves,Accipitriformes,Swainson's hawk,730,730,31,3,1,,39.4,980.64,24.9,wild,medium,acceptable,
2687,Animalia,Chordata,Mammalia,Primates,Saddlebacked tamarin,546,730,147,1.8,1,202,39.9,456.5,24.9,captivity,medium,acceptable,
3712,Animalia,Chordata,Reptilia,Testudines,Spotted box turtle,,,,,,,,372,24.9,captivity,tiny,acceptable,
483,Animalia,Chordata,Aves,Charadriiformes,Bridled tern,,,,,,,,133.3,24.9,wild,medium,acceptable,
364,Animalia,Chordata,Aves,Anseriformes,Magpie goose,730,1461,,,,,,2071,24.8,wild,medium,acceptable,
362,Animalia,Chordata,Aves,Anseriformes,Common shelduck,730,730,,,,,,1152,24.8,wild,medium,acceptable,
1462,Animalia,Chordata,Aves,Procellariiformes,Cory's shearwater,1095,1095,,,,,,535,24.8,wild,medium,acceptable,
55,Animalia,Chordata,Amphibia,Anura,Cane toad,365,365,2,10000,,,,106.25,24.8,captivity,large,acceptable,293
3264,Animalia,Chordata,Reptilia,Crocodilia,False gharial,7305,7305,102,,,,,119000,24.7,captivity,medium,acceptable,
336,Animalia,Chordata,Aves,Anseriformes,Black swan,821,821,,,,,,5650,24.7,wild,large,acceptable,
3463,Animalia,Chordata,Reptilia,Squamata,Caucasian sand-boa,,,,,,,,196,24.7,captivity,tiny,acceptable,
1570,Animalia,Chordata,Aves,Psittaciformes,Red lory,,,,,,,,156,24.7,captivity,medium,acceptable,
2040,Animalia,Chordata,Mammalia,Artiodactyla,Barasingha,1095,,250,1,,,,170000,24.5,captivity,large,high,
2268,Animalia,Chordata,Mammalia,Carnivora,Asian palm civet,341,,60,3.4,2,182,88.65,3100,24.5,captivity,tiny,acceptable,309.65
1353,Animalia,Chordata,Aves,Pelecaniformes,Great blue heron,669,669,28,4,2,,50,1870,24.5,wild,medium,acceptable,
3601,Animalia,Chordata,Reptilia,Squamata,Water moccasin,1095,1095,152,8,,,,1700,24.5,captivity,medium,acceptable,
3730,Animalia,Chordata,Reptilia,Testudines,Spanish pond turtle,,,,,,,,608,24.5,captivity,small,acceptable,
260,Animalia,Chordata,Aves,Accipitriformes,Brahminy kite,,,,,,,,529,24.5,wild,tiny,acceptable,
1502,Animalia,Chordata,Aves,Psittaciformes,Festive amazon,,,,,,,,430,24.5,captivity,medium,acceptable,
443,Animalia,Chordata,Aves,Charadriiformes,Northern lapwing,730,730,24,4,,,,218.5,24.5,wild,medium,acceptable,
1351,Animalia,Chordata,Aves,Pelecaniformes,Cocoi heron,,,,,,,,1937.7,24.4,captivity,tiny,acceptable,
842,Animalia,Chordata,Aves,Passeriformes,Alpine chough,1095,1095,,,,,,211.5,24.4,wild,medium,acceptable,
557,Animalia,Chordata,Aves,Charadriiformes,Common greenshank,365,365,,,,,,187,24.4,wild,medium,acceptable,
1515,Animalia,Chordata,Aves,Psittaciformes,Red-winged parrot,727,,,,,,,136,24.4,captivity,medium,acceptable,
1937,Animalia,Chordata,Mammalia,Artiodactyla,Blue wildebeest,411,912,253,1,1,365,18125,164500,24.3,captivity,large,high,311.15
3770,Animalia,Chordata,Reptilia,Testudines,Indian star tortoise,3650,,,,,,,4225,24.3,captivity,large,acceptable,
480,Animalia,Chordata,Aves,Charadriiformes,Pacific gull,,,,,,,,1313.5,24.3,wild,medium,acceptable,
3556,Animalia,Chordata,Reptilia,Squamata,Solomon Island skink,,,,,,,,1013.7,24.3,captivity,medium,acceptable,
3733,Animalia,Chordata,Reptilia,Testudines,Reeves' turtle,,,,,,,,858,24.2,captivity,medium,acceptable,
547,Animalia,Chordata,Aves,Charadriiformes,Whimbrel,730,730,22,4,1,,35,365.7,24.2,wild,small,acceptable,
849,Animalia,Chordata,Aves,Passeriformes,Pied currawong,,,,,,,,283.5,24.2,wild,large,acceptable,
2216,Animalia,Chordata,Mammalia,Carnivora,Australian sea lion,1095,2191,258,1,0.69,540,7075,190000,24.1,captivity,small,acceptable,
338,Animalia,Chordata,Aves,Anseriformes,Tundra swan,730,730,31,4,1,,179,6350,24.1,wild,medium,acceptable,
3249,Animalia,Chordata,Reptilia,Crocodilia,Dwarf caiman,3650,,,,,,,5900,24.1,captivity,medium,acceptable,
2711,Animalia,Chordata,Mammalia,Primates,L'hoest's monkey,,,,1,0.8,485,,4700,24.1,captivity,medium,acceptable,
703,Animalia,Chordata,Aves,Gaviiformes,Great northern diver,1461,1461,28,2,1,,93.9,3405,24.1,wild,medium,acceptable,
3638,Animalia,Chordata,Reptilia,Squamata,"Prairie rattlesnake, or Southern Pacific rattlesnake",,,,,,,,1647,24.1,captivity,medium,acceptable,
497,Animalia,Chordata,Aves,Charadriiformes,Least tern,1095,1095,21,2,,,7,40,24.1,wild,medium,acceptable,
1925,Animalia,Chordata,Mammalia,Artiodactyla,Japanese serow,1095,1095,215,1,1,548,3510.5,80000,24,captivity,small,acceptable,
1753,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Galapagos shark,2829,2555,,8.7,,730,,47025,24,wild,medium,acceptable,
1809,Animalia,Chordata,Chondrichthyes,Myliobatiformes,Bat ray,1825,1095,,3.8,,365,,45155,24,wild,medium,acceptable,
1952,Animalia,Chordata,Mammalia,Artiodactyla,Himalayan tahr,547,730,183,1,1,365,2000,35200,24,captivity,medium,acceptable,
4064,Animalia,Chordata,Teleostei,Lophiiformes,Anglerfish,1642,1642,,,,,,31735,24,wild,medium,acceptable,
3881,Animalia,Chordata,Teleostei,Cypriniformes,Black buffalo,,,,,,,,15785,24,wild,medium,acceptable,
2669,Animalia,Chordata,Mammalia,Primates,Mantled howler monkey,1095,1278,186,1,0.6,384,409,7000,24,captivity,small,acceptable,309.15
4434,Animalia,Chordata,Teleostei,Pleuronectiformes,Starry flounder,,,,,,,,5005,24,wild,medium,acceptable,
4476,Animalia,Chordata,Teleostei,Salmoniformes,"Brook trout, or Bunnylake brook trout",730,730,,,,,,4397.25,24,wild,medium,acceptable,
661,Animalia,Chordata,Aves,Galliformes,Great curassow,,,,,,,,4133,24,captivity,medium,acceptable,
713,Animalia,Chordata,Aves,Gruiformes,Hooded crane,1040,1040,,,,,,3700,24,captivity,small,acceptable,
2120,Animalia,Chordata,Mammalia,Carnivora,Margay,659,,81,1.5,,,166.5,3666.7,24,captivity,medium,acceptable,311.55
2729,Animalia,Chordata,Mammalia,Primates,Wolf's monkey,1685,,170,1,,,435,3390,24,captivity,small,acceptable,
2721,Animalia,Chordata,Mammalia,Primates,Red-bellied monkey,1572,,172,1,,,,3250,24,captivity,tiny,acceptable,
704,Animalia,Chordata,Aves,Gaviiformes,Red-throated diver,1095,1095,28,2,1,,54.8,1816,24,unknown,medium,acceptable,
268,Animalia,Chordata,Aves,Accipitriformes,Black kite,1095,1095,,,,,,1000,24,unknown,medium,acceptable,
3694,Animalia,Chordata,Reptilia,Testudines,Chicken turtle,1825,912,115,,,,,910.5,24,wild,medium,acceptable,
2241,Animalia,Chordata,Mammalia,Carnivora,Cacomistle,300,300,64,2,,,25,900,24,captivity,small,acceptable,311.95
4422,Animalia,Chordata,Teleostei,Pleuronectiformes,Rex sole,,,,,,,,825,24,wild,medium,acceptable,
642,Animalia,Chordata,Aves,Falconiformes,Brown falcon,,,,,,,,593.5,24,captivity,small,acceptable,
475,Animalia,Chordata,Aves,Charadriiformes,Heermann's gull,,,,,,,,500,24,wild,medium,acceptable,
2361,Animalia,Chordata,Mammalia,Chiroptera,Ryukyu flying fox,,,,1,,,,435,24,captivity,small,acceptable,
848,Animalia,Chordata,Aves,Passeriformes,Black currawong,,,,,,,,343,24,wild,small,acceptable,
3408,Animalia,Chordata,Reptilia,Squamata,Rough-scaled plated lizard,,,,,,,,284,24,captivity,medium,acceptable,
3465,Animalia,Chordata,Reptilia,Squamata,Tartar sand-boa,,,,,,,,196,24,captivity,small,acceptable,
793,Animalia,Chordata,Aves,Passeriformes,Rose-breasted grosbeak,365,365,12,4,1,,4.5,47.325,24,unknown,medium,acceptable,
1227,Animalia,Chordata,Aves,Passeriformes,Village weaver,,,,,,,,36.2,24,captivity,medium,acceptable,
1267,Animalia,Chordata,Aves,Passeriformes,Garden warbler,365,365,,,,,,24.6,24,captivity,small,acceptable,
915,Animalia,Chordata,Aves,Passeriformes,House canary,,,,,,,,24.3,24,captivity,medium,acceptable,314.15
198,Animalia,Chordata,Amphibia,Caudata,European fire salamander,,,,,,,,19.1,24,captivity,medium,acceptable,288
2407,Animalia,Chordata,Mammalia,Chiroptera,Whiskered bat,365,456,,1,,365,,5.3,24,wild,medium,acceptable,
1902,Animalia,Chordata,Mammalia,Artiodactyla,Blackbuck,466,,168,1,1.9,231,3850,37500,23.9,captivity,large,high,
486,Animalia,Chordata,Aves,Charadriiformes,Ivory gull,730,730,25,2,1,,,550,23.9,wild,small,acceptable,
3755,Animalia,Chordata,Reptilia,Testudines,Loggerhead musk turtle,2920,1460,,,,,,154.5,23.9,captivity,tiny,acceptable,
3520,Animalia,Chordata,Reptilia,Squamata,Bibron's mole viper,,,,,,,,109,23.9,captivity,small,acceptable,
1623,Animalia,Chordata,Aves,Psittaciformes,Alexandra's parrot,,,,,,,,104,23.9,captivity,medium,acceptable,
496,Animalia,Chordata,Aves,Charadriiformes,Little tern,730,730,21,2,,,,31,23.9,wild,medium,acceptable,
1973,Animalia,Chordata,Mammalia,Artiodactyla,Gemsbok,550,550,270,1,1.3,,12000,170000,23.8,captivity,large,high,312.05
2516,Animalia,Chordata,Mammalia,Diprotodontia,Grizzled tree kangaroo,510,730,33,1,,,,11400,23.8,captivity,tiny,acceptable,
3324,Animalia,Chordata,Reptilia,Squamata,Trans-pecos rat snake,730,730,,5,,,,1839,23.8,captivity,small,acceptable,
3361,Animalia,Chordata,Reptilia,Squamata,Prairie kingsnake,1095,1095,,,,,,1130,23.8,captivity,small,acceptable,
1697,Animalia,Chordata,Aves,Strigiformes,Ural owl,365,365,,,,,,784.5,23.8,wild,medium,acceptable,
824,Animalia,Chordata,Aves,Passeriformes,Rook,730,730,,,,,,453.5,23.8,wild,large,acceptable,
548,Animalia,Chordata,Aves,Charadriiformes,Bristle-thighed curlew,1065,1065,,4,1,,37.6,408.6,23.8,wild,small,acceptable,
658,Animalia,Chordata,Aves,Falconiformes,Common kestrel,365,365,,,,,,184,23.8,wild,large,acceptable,
3641,Animalia,Chordata,Reptilia,Squamata,Saw-scaled viper,,,,,,,,142,23.8,captivity,small,acceptable,
1944,Animalia,Chordata,Mammalia,Artiodactyla,Dorcas gazelle,730,589,182,1,1,338,1650,14500,23.7,captivity,large,high,312.05
2243,Animalia,Chordata,Mammalia,Carnivora,South american coati,730,730,73,4,,365,140,4750,23.7,captivity,large,high,309.55
236,Animalia,Chordata,Aves,Accipitriformes,Ferruginous hawk,730,730,32,3,1,,51.6,1500,23.7,wild,medium,acceptable,
2696,Animalia,Chordata,Mammalia,Primates,Emperor tamarin,546,730,145,2,,,47,518.5,23.7,captivity,large,high,
2408,Animalia,Chordata,Mammalia,Chiroptera,Natterer's bat,,,,1,1,365,,7.5,23.7,wild,medium,acceptable,
2515,Animalia,Chordata,Mammalia,Diprotodontia,Goodfellow's tree kangaroo,897,,45,1,,,,7400,23.6,captivity,medium,acceptable,
2367,Animalia,Chordata,Mammalia,Chiroptera,Gray-headed flying fox,540,540,190,1,1,,80,675,23.6,captivity,medium,acceptable,309.65
3162,Animalia,Chordata,Mammalia,Rodentia,Eastern gray squirrel,343,401,44,4,2,,15,533,23.6,captivity,small,acceptable,311.85
542,Animalia,Chordata,Aves,Charadriiformes,Black-tailed godwit,730,730,,,,,,294,23.6,wild,medium,acceptable,
2004,Animalia,Chordata,Mammalia,Artiodactyla,Greater kudu,517,,228,1,1,365,15000,217500,23.5,captivity,large,high,312.05
565,Animalia,Chordata,Aves,Charadriiformes,South polar skua,1823,,,,,,,1349,23.5,wild,medium,acceptable,
3474,Animalia,Chordata,Reptilia,Squamata,Tokay gecko,,,,,,,,54.13,23.5,captivity,large,acceptable,
734,Animalia,Chordata,Aves,Passeriformes,Striated thornbill,,,,,,,,7.1,23.5,wild,large,acceptable,
2855,Animalia,Chordata,Mammalia,Rodentia,American beaver,639,639,128,3.5,1,365,430,20250,23.4,captivity,small,acceptable,
2970,Animalia,Chordata,Mammalia,Rodentia,North American porcupine,1095,1095,210,1,1,,500,8600,23.4,captivity,medium,acceptable,309.15
3501,Animalia,Chordata,Reptilia,Squamata,Andros island iguana,3652,,,,,,,6754.63,23.4,captivity,small,acceptable,
874,Animalia,Chordata,Aves,Passeriformes,Red-browed finch,,,,,,,,11.45,23.4,wild,large,acceptable,
2812,Animalia,Chordata,Mammalia,Primates,"Gray bamboo lemur, or Bamboo lemur",880,1346,145,1.1,1.1,335,50.4,1012.5,23.3,captivity,small,acceptable,
1636,Animalia,Chordata,Aves,Psittaciformes,Red-breasted parakeet,,,,,,,,147,23.3,captivity,medium,acceptable,
2530,Animalia,Chordata,Mammalia,Diprotodontia,Western gray kangaroo,670,880,30,1,1,385,0.93433,28250,23.2,captivity,large,high,309.65
2033,Animalia,Chordata,Mammalia,Artiodactyla,Reeves's muntjac,274,,199,1,1.5,215,1050,18000,23.2,captivity,large,high,
3451,Animalia,Chordata,Reptilia,Squamata,Blackneck spitting cobra,,,,,,,,8787,23.2,captivity,small,acceptable,
691,Animalia,Chordata,Aves,Galliformes,Indian peafowl,730,730,29,5,,,120,4200,23.2,captivity,large,acceptable,
316,Animalia,Chordata,Aves,Anseriformes,Common pochard,365,365,,,,,,823,23.2,wild,medium,acceptable,
296,Animalia,Chordata,Aves,Anseriformes,Blue-winged teal,240,240,24,10,1,,18.3,420,23.2,wild,large,acceptable,
1583,Animalia,Chordata,Aves,Psittaciformes,Golden conure,,,,,,,,250,23.2,captivity,small,acceptable,
3007,Animalia,Chordata,Mammalia,Rodentia,Cape porcupine,375,390,94,2.1,1.7,379,351,24000,23.1,captivity,medium,acceptable,310.65
2102,Animalia,Chordata,Mammalia,Carnivora,Fossa,1496,,90,3,1,,100,9500,23.1,captivity,medium,acceptable,
957,Animalia,Chordata,Aves,Passeriformes,Common grackle,,,14,5,1,,5.57,111,23.1,wild,medium,acceptable,
1752,Animalia,Chordata,Chondrichthyes,Carcharhiniformes,Silky shark,2920,2646,,6.5,,730,,190300,23,wild,medium,acceptable,
1999,Animalia,Chordata,Mammalia,Artiodactyla,Nyala,452,,224,1,1.2,295,5232.5,120000,23,captivity,medium,acceptable,
2035,Animalia,Chordata,Mammalia,Artiodactyla,White-tailed deer,309,417,198,2,1,304,3000,87000,23,captivity,large,high,312.15
1939,Animalia,Chordata,Mammalia,Artiodactyla,"Bontebok, or Sassaby, or Blesbok",707,,243,1.2,,365,6792,84500,23,captivity,large,high,
1966,Animalia,Chordata,Mammalia,Artiodactyla,Grant's gazelle,251,,196,1,,,5602.5,67000,23,captivity,medium,acceptable,
2108,Animalia,Chordata,Mammalia,Carnivora,Asiatic golden cat,639,,95,1,,,250,13500,23,captivity,medium,acceptable,
4037,Animalia,Chordata,Teleostei,Gadiformes,Mud hake,510,510,,,,,,11550,23,wild,medium,acceptable,
4451,Animalia,Chordata,Teleostei,Salmoniformes,Muksun,,,,,,,,7590,23,wild,medium,acceptable,
4129,Animalia,Chordata,Teleostei,Perciformes,Largemouth bass,1642,1277,,,,,,5527.5,23,wild,medium,acceptable,
2116,Animalia,Chordata,Mammalia,Carnivora,Geoffroy's cat,479,,75,2,1.3,240,93.2,4000,23,captivity,medium,acceptable,
3910,Animalia,Chordata,Teleostei,Cypriniformes,Bream,2007,1825,,,,,,3305.5,23,wild,medium,acceptable,
2168,Animalia,Chordata,Mammalia,Carnivora,Oriental small-clawed otter,730,730,63,1.42,2,182,57,3000,23,captivity,large,acceptable,
662,Animalia,Chordata,Aves,Galliformes,Razor-billed curassow,,,,,,,,2813,23,captivity,small,acceptable,
4431,Animalia,Chordata,Teleostei,Pleuronectiformes,Lemon sole,1460,1460,,,,,,1600,23,wild,medium,acceptable,
666,Animalia,Chordata,Aves,Galliformes,Maleo,,,,,,,,1564,23,captivity,medium,acceptable,
1727,Animalia,Chordata,Aves,Suliformes,Red-footed booby,730,730,44,1,1,,40,1017,23,wild,medium,acceptable,
358,Animalia,Chordata,Aves,Anseriformes,Steller's eider,730,730,26,8,1,,,907.2,23,wild,medium,acceptable,
1522,Animalia,Chordata,Aves,Psittaciformes,Red-fronted macaw,,,,,,,,470,23,captivity,medium,acceptable,
1357,Animalia,Chordata,Aves,Pelecaniformes,Cattle egret,730,730,22,3,1,,19.1,390,23,wild,medium,acceptable,
1655,Animalia,Chordata,Aves,Psittaciformes,Great-billed parrot,,,,,,,,325,23,captivity,small,acceptable,
1199,Animalia,Chordata,Aves,Passeriformes,House sparrow,152,365,11,5,4,,2.02,25.3,23,unknown,medium,acceptable,
2382,Animalia,Chordata,Mammalia,Chiroptera,Western barbastelle,548,,,2,1,365,,10.25,23,wild,medium,acceptable,
2053,Animalia,Chordata,Mammalia,Artiodactyla,Babirusa,548,548,153,1.3,2,,715,71500,22.9,captivity,medium,acceptable,
2016,Animalia,Chordata,Mammalia,Artiodactyla,Hog deer,304,,232,1,,,2532,43000,22.9,captivity,medium,acceptable,
3500,Animalia,Chordata,Reptilia,Squamata,Rhinoceros iguana,2191,2557,137,,,,,16578.1,22.9,captivity,medium,acceptable,
1352,Animalia,Chordata,Aves,Pelecaniformes,Goliath heron,,,,,,,,4468,22.9,captivity,small,acceptable,
2175,Animalia,Chordata,Mammalia,Carnivora,Spotted-necked otter,842,,61,2,,365,,4000,22.9,captivity,small,acceptable,
3005,Animalia,Chordata,Mammalia,Rodentia,African brush-tailed porcupine,,,106,1.5,2.5,,150,2750,22.9,captivity,small,acceptable,
3725,Animalia,Chordata,Reptilia,Testudines,Spiny turtle,,,,,,,,950,22.9,captivity,medium,acceptable,
1566,Animalia,Chordata,Aves,Psittaciformes,Red-shouldered macaw,,,,,,,,151,22.9,captivity,small,acceptable,
2374,Animalia,Chordata,Mammalia,Chiroptera,Egyptian rousette,365,365,116,1,2,,21.06,125,22.9,wild,large,acceptable,307.95
1461,Animalia,Chordata,Aves,Procellariiformes,Bulwer's petrel,1461,1461,44,1,1,,16.9,99,22.9,wild,small,acceptable,
1264,Animalia,Chordata,Aves,Passeriformes,European starling,365,365,12,5,2,,6.4,74,22.9,wild,large,acceptable,
1030,Animalia,Chordata,Aves,Passeriformes,New holland honeyeater,,,,,,,,18.5,22.9,wild,large,acceptable,
1978,Animalia,Chordata,Mammalia,Artiodactyla,"Domestic sheep, or Mouflon",548,914,146,1.58,1,365,2370,80000,22.8,captivity,large,high,311.95
3621,Animalia,Chordata,Reptilia,Squamata,Eastern diamondback rattlesnake,,,,,,,,5675,22.8,captivity,medium,acceptable,
